mode,class_idx,class_id,class_label,text
attributes,0,295,Common Eider (Adult male),"large heavyset seabird body, white upperparts, black underparts, black cap, pale green nape, green yellow-orange black bill, chocolate brown plumage, white breast, white back"
attributes,1,296,Long-tailed Duck (Winter male),"small slender seabird dark brown body, rounded black dark head, small bill, long tail, white plumage, large dark patches, black dark neck, pink bands, white face"
attributes,2,297,Ruddy Duck (Breeding male),"small compact rich chestnut body, scoop-shaped bright blue dull gray bill, thick neck, blackish cap, dull gray-brown upperparts, dull gray-brown underparts, brownish plumage, pale cheek"
attributes,3,298,Swainson's Hawk (Dark morph ),"broad longer-winged white wings, short tail, dark reddish-brown chest, brown gray upperparts, gray brown head, dark individuals also occur body, vary reddish nearly black plumage"
attributes,4,299,Red-tailed Hawk (Light morph adult),"large body proportions, broad rounded streaked wings, short wide dark-morph chocolate-brown warm red tail, red-tailed rich brown cinnamon-red upperparts, pale underparts, streaked dark belly, dark bars, streaked shoulder, young brown plumage, rufous-morph reddish-brown chest"
attributes,5,313,Snow Goose (White morph),"medium-sized white dark brown body, hefty pink bill, long thick neck, black wingtips, dark line, dark patches, blue white face, white undertail"
attributes,6,314,Wood Duck (Breeding male),"compact body, glossy green crest, white throat, chestnut breast, buff side, red white bill, red eye"
attributes,7,315,Gadwall (Breeding male),"large body, square head, square forehead, gray-brown black patches, brown buff plumage, dark bill"
attributes,8,316,American Wigeon (Breeding male),"medium-sized compact body, short pale gray bill, round brownish-gray warm brown head, wide green stripes, brownish-gray eye, gleaming white cap, white patches"
attributes,9,317,Mallard (Breeding male),"large hefty gray body, rounded dark iridescent green head, wide flat bright yellow brown mottled orange-brown bill, brown breast, black rear, white-bordered blue speculum"
attributes,10,318,Blue-winged Teal  (Male),"small dabbling-duck brown body, large side, brown breast, slaty-blue head, brown bill, small white flank, brown patches, black rear, patterned brown plumage"
attributes,11,319,Cinnamon Teal (Male),"small body, long dark bill, red eye, vivid rusty rich brownish plumage, brownish back, white underwing feathers, sky-blue patches"
attributes,12,320,Northern Shoveler (Breeding male),"shovel-shaped large orange bill, medium-sized body, bold white blue-green rust mottled brown plumage, white chest, white side, powdery-blue wings"
attributes,13,321,Northern Pintail (Breeding male),"long-necked slender profile, gleaming white breast, white line, brown head, brown neck"
attributes,14,322,Green-winged Teal (Male),"small grayish body, grayish stripes, grayish shoulder, dark head, dark eye, dark back, dark neck, green wings"
attributes,15,323,Canvasback (Breeding male),"large chestnut brown head, sloping forehead, large chestnut brown neck, long bill, short tail, black chest, whitish brown body, black rear, pale brown black grayish plumage, red dark eye"
attributes,16,324,Redhead (Breeding male),"medium-sized diving gray body, smoothly rounded cinnamon head, moderately large black-tipped gray bill, black breast, black tail, plain uniform brown plumage"
attributes,17,325,Ring-necked Duck (Breeding male),"compact diving body, shape-a sloping forehead, bold black rich brown prominent white ring plumage, gray dark head, black back, gray side, gray chest, pale cheek, white patches, pale bill, whitish eyering"
attributes,18,326,Greater Scaup (Breeding male),"medium-sized diving mottled brown gray body, rounded brown blackish head, black brown plumage, bluish brown bill, yellow eye, white patches"
attributes,19,327,Lesser Scaup (Breeding male),"medium-sized diving mottled brown gray body, small crest, black finely barred brown plumage, white back, bluish brown bill, yellow eye, brown head, white patches"
attributes,20,328,Harlequin Duck (Male),"small compact body, large rounded head, small white bill, small forehead, spectacular slate blue plumage, white stripes, chestnut side, chestnut highlights brow, white eye, white spots, white rear, white cheek"
attributes,21,329,Surf Scoter (Male),"medium-sized seabird body, large head, broad orange white black dark brown gray bill, jet black plumage, white two patches, white black nape, white face"
attributes,22,330,White-winged Scoter (Male),"stocky body, thick neck, heavy head, sloping forehead, heavy bill, silken black bright orange-red plumage, large white patches, comma-shaped white mark, large white wings, large white belly"
attributes,23,331,Black Scoter (Male),"stocky medium-sized seaduck body, short tail, rounded head, broad bill, silky black rich brown plumage, blackish cap, contrasting pale cheek"
attributes,24,332,Bufflehead (Breeding male),"small compact white body, large rounded dark head, short wide bill, black back, large white patches, gray-brown plumage, white cheek"
attributes,25,333,Common Goldeneye (Breeding male),"medium-sized narrow black body, large white brown head, short tail, black plumage, round white spots, white bill, bright yellow eye, black side, gray back, gray wings, variable amounts yellow tip"
attributes,26,334,Barrow's Goldeneye (Breeding male),"small stocky diving large oddly shaped body, white underparts, black-and-white upperparts, yellow bill"
attributes,27,335,Hooded Merganser (Breeding male),"small thin bill, small thin crest, black upperparts, white breast, rich chestnut flank, black head, large white patches"
attributes,28,336,Common Merganser (Breeding male),"large long gleaming white gray body, thin pointed wings, straight narrow bill, shaggy crests, dark iridescent green rusty cinnamon head, white chest"
attributes,29,337,Red-breasted Merganser (Breeding male),"large slim long body, long white neck, long bill, shaggy crest, cinnamon chest, cinnamon bands, shaggy green brown head, brownish-gray plumage, brownish chin, brownish breast"
attributes,30,338,California Quail (Male),"plump body, small head, small bill, broad wings, rich gray plainer brown plumage, brown black face, bold white stripes, pattern white"
attributes,31,339,Gambel's Quail (Male),"plump broad fuller neither strongly scaled california body, volleyball-sized short neck, small bill, square tail, small strong head, richly patterned gray chestnut cream plumage, bright rufous crest, chestnut flank, white creamy belly, black patches"
attributes,32,340,Ring-necked Pheasant (Male),"pointed long buff cinnamon tail, long legs, small head, long iridescent green neck, plump body, red face, bold white ring plumage, thin black bars, buff cinnamon underparts, buff cinnamon side"
attributes,33,341,Red-throated Loon (Breeding),"large seabird, long narrow pointed wings, grayish-brown blackish upperparts, pale white underparts, pale gray white neck, rusty throat, pale gray patches, thin black-and-white stripes, pale gray back, pale gray side, pale gray breast, white face"
attributes,34,342,Pacific Loon (Breeding),"heavy long pointed body, long thick neck, pointed sharp black bill, long pointed wings, short legs, long pointed back, dove-gray head, black dark gray-brown upperparts, crisp white lines, dark gray-brown edging, whitish underparts, dark line, whitish throat"
attributes,35,343,Common Loon (Breeding),"large diving waterbirds, rounded black plain gray head, dagger-like black bill, long body, short tail, black-and-white spotted plain gray back, white breast, white throat"
attributes,36,344,Horned Grebe (Breeding),"small compact waterbird, compact body, short rich rusty cinnamon neck, short head, straight narrow bill, dark gray-black back, rich rusty cinnamon side, long yellow tuft, grayish upperparts, white underparts, white cheek"
attributes,37,345,Red-necked Grebe (Breeding),"dark gray upperparts, dark gray underparts, pale white cheek, pale side, pale neck, rusty red breast, black cap"
attributes,38,346,Eared Grebe (Breeding),"small waterbird, thin neck, thin bill, black grayish plumage, chestnut flank, bright red eye, dark crown"
attributes,39,347,"Northern Gannet (Adult, Subadult)","heavy body, long pointed wings, long pointed tail, long pointed bill, snow white uniformly sooty brown appearing patchwork dark plumage, black wingtips, yellow head, light feathering"
attributes,40,348,Double-crested Cormorant (Immature),"large waterbirds, small strongly hooked head, small neck, thin strongly hooked bill, heavy body, brown-black small patches"
attributes,41,349,Great Cormorant (Adult),"long thick neck, long thick head, heavy hooked white bill, blackish plumage, white brownish whitish throat, brownish whitish belly, brownish streaking edges"
